step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
123,6,52,1,0,1,0,0,0,8,8
124,6,52,1,0,1,0,0,0,8,8
125,6,52,1,0,1,0,0,0,8,8
126,6,52,1,0,1,0,0,0,8,8
127,6,52,1,0,1,0,0,0,8,8
128,6,52,1,0,1,0,0,0,8,8
129,6,52,1,0,1,0,0,0,8,8
130,6,52,1,0,1,0,0,0,8,8
131,6,52,1,0,1,0,0,0,8,8
132,6,52,1,0,1,0,0,0,8,8
133,6,52,1,0,1,0,0,0,8,8
134,6,52,1,0,1,0,0,0,8,8
135,6,51,2,0,1,0,0,0,8,8
136,6,51,2,0,1,0,0,0,8,8
137,6,51,2,0,1,0,0,0,8,8
138,6,51,2,0,1,0,0,0,8,8
139,6,51,2,0,1,0,0,0,8,8
140,6,51,2,0,1,0,0,0,8,8
141,6,51,2,0,1,0,0,0,8,8
142,6,51,2,0,1,0,0,0,8,8
143,6,51,2,0,1,0,0,0,8,8
144,6,51,2,0,1,0,0,0,8,8
145,6,51,2,0,1,0,0,0,8,8
146,6,51,2,0,1,0,0,0,8,8
147,6,51,2,0,1,0,0,0,8,8
148,6,51,2,0,1,0,0,0,8,8
149,6,51,2,0,1,0,0,0,8,8
150,6,51,2,0,1,0,0,0,8,8
151,6,51,2,0,1,0,0,0,8,8
152,6,51,2,0,1,0,0,0,8,8
153,6,51,2,0,1,0,0,0,8,8
154,6,51,2,0,1,0,0,0,8,8
155,6,51,2,0,1,0,0,0,8,8
156,6,51,2,0,1,0,0,0,8,8
157,6,51,2,0,1,0,0,0,8,8
158,6,51,2,0,1,0,0,0,8,8
159,6,51,2,0,1,0,0,0,8,8
160,6,51,2,0,1,0,0,0,8,8
161,6,51,2,0,1,0,0,0,8,8
162,6,51,2,0,1,0,0,0,8,8
163,6,51,2,0,1,0,0,0,8,8
164,6,51,2,0,1,0,0,0,8,8
165,6,51,2,0,1,0,0,0,8,8
166,6,51,2,0,1,0,0,0,8,8
167,6,51,2,0,1,0,0,0,8,8
168,6,51,2,0,1,0,0,0,8,8
169,6,50,3,0,1,0,0,0,8,8
170,6,50,3,0,1,0,0,0,8,8
171,6,50,3,0,1,0,0,0,8,8
172,6,50,3,0,1,0,0,0,8,8
173,6,50,2,0,1,0,0,0,8,8
174,6,50,2,0,1,0,0,0,8,8
175,6,50,2,0,1,0,0,0,8,8
176,6,50,2,0,1,0,0,0,8,8
177,6,50,2,0,1,0,0,0,8,8
178,6,50,2,0,1,0,0,0,8,8
179,6,50,2,0,1,0,0,0,8,8
180,6,50,2,0,1,0,0,0,8,8
181,6,50,2,0,1,0,0,0,8,8
182,6,50,2,0,1,0,0,0,8,8
183,6,50,2,0,1,0,0,0,8,8
184,6,50,2,0,1,0,0,0,8,8
185,6,50,2,0,1,0,0,0,8,8
186,6,50,2,0,1,0,0,0,8,8
187,6,50,2,0,1,0,0,0,8,8
188,6,50,2,0,1,0,0,0,8,8
189,6,50,2,0,1,0,0,0,8,8
190,6,50,2,0,1,0,0,0,8,8
191,6,50,2,0,1,0,0,0,8,8
192,6,50,2,0,1,0,0,0,8,8
193,6,50,2,0,1,0,0,0,8,8
194,6,50,2,0,1,0,0,0,8,8
195,6,50,2,0,1,0,0,0,8,8
196,6,50,2,0,1,0,0,0,8,8
197,6,50,2,0,1,0,0,0,8,8
198,6,50,2,0,1,0,0,1,8,8
199,6,50,2,0,1,0,0,1,8,8
200,6,50,2,0,1,0,0,1,8,8
201,6,50,2,0,1,0,0,1,8,8
202,6,50,2,0,1,0,0,1,8,8
203,6,50,2,0,1,0,0,0,9,9
204,6,50,2,0,1,0,0,0,9,9
205,6,50,2,0,1,0,0,0,9,9
206,6,50,2,0,1,0,0,0,9,9
207,6,50,2,0,1,0,0,0,9,9
