step,stage_c_stage,stage_w_stage,stage_h_stage,stage_l_stage
316,0,56,0,45
317,0,56,0,45
318,0,56,0,45
319,0,56,0,45
320,0,56,0,45
321,0,56,0,45
322,0,56,0,45
323,0,56,0,45
324,0,56,0,45
325,0,56,0,45
326,0,56,0,45
327,0,56,0,45
328,0,56,0,45
329,0,56,0,45
330,0,56,0,45
331,0,54,2,45
332,0,54,2,45
333,0,54,2,45
334,0,54,2,45
335,0,54,2,45
336,0,54,2,45
337,0,52,4,45
338,0,52,4,45
339,0,52,4,45
340,0,52,4,45
341,0,50,6,45
342,0,50,6,45
343,0,50,6,45
344,0,50,6,45
345,0,50,6,45
346,0,50,6,45
347,0,50,6,45
348,0,50,6,45
349,0,49,7,45
350,0,49,7,45
351,0,47,9,45
352,0,47,9,45
353,0,47,9,45
354,0,47,9,45
355,0,47,9,45
356,0,47,9,45
357,0,47,9,45
358,0,47,9,45
359,0,47,9,45
360,0,47,9,45
361,0,47,9,45
362,0,47,9,45
363,0,46,10,45
364,0,46,10,45
365,0,46,10,45
